,type,strikes,maturities,implied_volatilities,Spot,posixT0
239,call,65000.0,1650009600.0,0.7232,42697.35,2022-04-10 05:35:49.727022+00:00
240,call,25000.0,1650009600.0,0.9994,42697.35,2022-04-10 05:35:49.727022+00:00
241,call,43000.0,1650009600.0,0.4764,42697.35,2022-04-10 05:35:49.727022+00:00
242,call,34000.0,1650009600.0,0.7964,42697.35,2022-04-10 05:35:49.727022+00:00
243,call,70000.0,1650009600.0,0.7317,42697.35,2022-04-10 05:35:49.727022+00:00
244,call,49000.0,1650009600.0,0.5478999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
245,call,36000.0,1650009600.0,0.7177,42697.35,2022-04-10 05:35:49.727022+00:00
246,call,45000.0,1650009600.0,0.4718,42697.35,2022-04-10 05:35:49.727022+00:00
247,call,35000.0,1650009600.0,0.7654000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
248,call,75000.0,1650009600.0,0.7864,42697.35,2022-04-10 05:35:49.727022+00:00
249,call,42000.0,1650009600.0,0.49689999999999995,42697.35,2022-04-10 05:35:49.727022+00:00
250,call,30000.0,1650009600.0,0.922,42697.35,2022-04-10 05:35:49.727022+00:00
251,call,44000.0,1650009600.0,0.47229999999999994,42697.35,2022-04-10 05:35:49.727022+00:00
252,call,55000.0,1650009600.0,0.6920000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
253,call,51000.0,1650009600.0,0.6121,42697.35,2022-04-10 05:35:49.727022+00:00
254,call,54000.0,1650009600.0,0.6717,42697.35,2022-04-10 05:35:49.727022+00:00
255,call,41000.0,1650009600.0,0.518,42697.35,2022-04-10 05:35:49.727022+00:00
256,call,50000.0,1650009600.0,0.5536,42697.35,2022-04-10 05:35:49.727022+00:00
257,call,47000.0,1650009600.0,0.5021,42697.35,2022-04-10 05:35:49.727022+00:00
258,call,48000.0,1650009600.0,0.5038,42697.35,2022-04-10 05:35:49.727022+00:00
259,call,38000.0,1650009600.0,0.6084,42697.35,2022-04-10 05:35:49.727022+00:00
260,call,40000.0,1650009600.0,0.5434,42697.35,2022-04-10 05:35:49.727022+00:00
261,call,52000.0,1650009600.0,0.6373,42697.35,2022-04-10 05:35:49.727022+00:00
262,call,46000.0,1650009600.0,0.49200000000000005,42697.35,2022-04-10 05:35:49.727022+00:00
263,call,60000.0,1650009600.0,0.7232,42697.35,2022-04-10 05:35:49.727022+00:00
264,call,56000.0,1650009600.0,0.7232,42697.35,2022-04-10 05:35:49.727022+00:00
265,call,38000.0,1650614400.0,0.5838,42697.35,2022-04-10 05:35:49.727022+00:00
266,call,50000.0,1650614400.0,0.5134000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
267,call,70000.0,1650614400.0,0.7162999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
268,call,60000.0,1650614400.0,0.6711,42697.35,2022-04-10 05:35:49.727022+00:00
269,call,25000.0,1650614400.0,0.9775,42697.35,2022-04-10 05:35:49.727022+00:00
270,call,46000.0,1650614400.0,0.4902,42697.35,2022-04-10 05:35:49.727022+00:00
271,call,55000.0,1650614400.0,0.599,42697.35,2022-04-10 05:35:49.727022+00:00
272,call,42000.0,1650614400.0,0.5167,42697.35,2022-04-10 05:35:49.727022+00:00
273,call,47000.0,1650614400.0,0.4914,42697.35,2022-04-10 05:35:49.727022+00:00
274,call,56000.0,1650614400.0,0.599,42697.35,2022-04-10 05:35:49.727022+00:00
275,call,48000.0,1650614400.0,0.49450000000000005,42697.35,2022-04-10 05:35:49.727022+00:00
276,call,36000.0,1650614400.0,0.6246,42697.35,2022-04-10 05:35:49.727022+00:00
277,call,52000.0,1650614400.0,0.5375,42697.35,2022-04-10 05:35:49.727022+00:00
278,call,65000.0,1650614400.0,0.7116,42697.35,2022-04-10 05:35:49.727022+00:00
279,call,54000.0,1650614400.0,0.5476,42697.35,2022-04-10 05:35:49.727022+00:00
280,call,30000.0,1650614400.0,0.8784000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
281,call,44000.0,1650614400.0,0.4982,42697.35,2022-04-10 05:35:49.727022+00:00
282,call,35000.0,1650614400.0,0.6487,42697.35,2022-04-10 05:35:49.727022+00:00
283,call,75000.0,1650614400.0,0.7168000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
284,call,41000.0,1650614400.0,0.5271,42697.35,2022-04-10 05:35:49.727022+00:00
285,call,39000.0,1650614400.0,0.5623,42697.35,2022-04-10 05:35:49.727022+00:00
286,call,40000.0,1650614400.0,0.5439,42697.35,2022-04-10 05:35:49.727022+00:00
287,call,45000.0,1650614400.0,0.4932,42697.35,2022-04-10 05:35:49.727022+00:00
288,call,43000.0,1650614400.0,0.5065,42697.35,2022-04-10 05:35:49.727022+00:00
289,call,49000.0,1651219200.0,0.537,42697.35,2022-04-10 05:35:49.727022+00:00
290,call,44000.0,1651219200.0,0.5371,42697.35,2022-04-10 05:35:49.727022+00:00
291,call,45000.0,1651219200.0,0.5345,42697.35,2022-04-10 05:35:49.727022+00:00
292,call,60000.0,1651219200.0,0.6015999999999999,42697.35,2022-04-10 05:35:49.727022+00:00
293,call,52000.0,1651219200.0,0.544,42697.35,2022-04-10 05:35:49.727022+00:00
294,call,43000.0,1651219200.0,0.5427000000000001,42697.35,2022-04-10 05:35:49.727022+00:00
295,call,47000.0,1651219200.0,0.534,42697.35,2022-04-10 05:35:49.727022+00:00
296,call,50000.0,1651219200.0,0.537,42697.35,2022-04-10 05:35:49.727022+00:00
